name,gender,organization,date,location,type_of_death
Alaa Taher Al-Hassanat,Female,AlMajedat Media Network,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Alexandra Tuttle,Female,The Wall Street Journal,"September 22, 1993",Georgia,Crossfire
Alison Parker,Female,WDBJ7,"August 26, 2015",USA,Dangerous Assignment
Amparo Leonor Jiménez Pallares,Female,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Murder
Anastasiya Baburova,Female,Novaya Gazeta,"January 19, 2009",Russia,Murder
Anja Niedringhaus,Female,The Associated Press,"April 4, 2014",Afghanistan,Dangerous Assignment
Anna Politkovskaya,Female,Novaya Gazeta,"October 7, 2006",Russia,Murder
Asiya Jeelani,Female,freelance,"April 20, 2004",India,Dangerous Assignment
Atwar Bahjat,Female,Al-Arabiya,"February 23, 2006",Iraq,Murder
Audrey Gaid Estrada,Female,101.3 Grace Covenant FM,"March 17, 2022",Philippines,Murder
Ayat Khadoura,Female,,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ayelet Arnin,Female,Kan,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Aysel Malkac,Female,Ozgur Gundem,"August 7, 1993",Turkey,Murder
Batoul Mokhles al-Warrar,Female,Noor al-Sham; Radio Damascus,"November 3, 2015",Syria,Crossfire
Camille Lepage,Female,Freelance,May 2014,Central African Republic,Dangerous Assignment
Cynthia Elbaum,Female,Freelancer,"December 22, 1994",Russia,Crossfire
Dalia Marko,Female,Raja FM,"January 25, 2015",South Sudan,Murder
Daphne Caruana Galizia,Female,Running Commentary,"October 16, 2017",Malta,Murder
Dilshan Ibash,Female,Hawar News Agency (ANHA),"October 12, 2017",Syria,Crossfire
Dolores Guadalupe García Escamilla,Female,Stereo 91,"April 16, 2005",Mexico,Murder
Duniya Muhyadin Nur,Female,Capital Voice,"June 5, 2005",Somalia,Dangerous Assignment
Elsa Cayat,Female,Freelance,"January 7, 2015",France,Murder
Farah Omar,Female,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment
Flor Alba Núñez Vargas,Female,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,Murder
Francisca Sandoval,Female,Canal Señal 3 La Victoria,"May 12, 2022",Chile,Dangerous Assignment
Gabrielle Marian Hulsen,Female,Freelancer,"August 18, 1992",Lebanon,Murder
Gauri Lankesh,Female,Gauri Lankesh Patrike,"September 5, 2017",India,Murder
Ghislaine Dupont,Female,Radio France Internationale,"November 2, 2013",Mali,Murder
Gina Dela Cruz,Female,Saksi News,"November 23, 2009",Philippines,Murder
Habiba Ahmed Abd Elaziz,Female,Al-Jazeera,"August 14, 2013",Egypt,Crossfire
Halima Idris Salim,Female,Sudan Bukra,"October 10, 2023",Sudan,Dangerous Assignment
Halla Barakat,Female,Orient Net,"Body found on September 21, 2017",Turkey,
Hind Ismail,Female,As-Saffir,"September 17, 2005",Iraq,Murder
Hindia Haji Mohamed,Female,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,Murder
Ilaria Alpi,Female,RAI-3 Television,"March 20, 1994",Somalia,Murder
Isaivizhi Chempiyan,Female,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire
Jhannah Villegas,Female,"Sagad and Bugso,Radyo Ukay,Energy FM 106.7","April 15, 2022",Philippines,Murder
Johanne Sutton,Female,Radio France Internationale,"November 11, 2001",Afghanistan,Crossfire
Karen Fischer,Female,freelance,"October 7, 2006",Afghanistan,Murder
Karmela Sojanovic,Female,Oslobodjenje,"January 10, 1993",Bosnia,Murder
Kate Peyton,Female,BBC,"February 9, 2005",Somalia,Murder
Khadija Dahmani,Female,Echourouk al-Arabi,"December 5, 1995",Algeria,Murder
Khamail Khalaf,Female,Radio Free Iraq,"April 5, 2007",Iraq,Murder
