year,region,number
2000.0,All other countries,25
2001.0,All other countries,49
2001.0,Middle East,1
2002.0,All other countries,21
2002.0,Middle East,3
2003.0,All other countries,27
2003.0,Middle East,27
2004.0,All other countries,36
2004.0,Middle East,40
2005.0,All other countries,28
2005.0,Middle East,28
2006.0,All other countries,27
2006.0,Middle East,50
2007.0,All other countries,44
2007.0,Middle East,47
2008.0,All other countries,31
2008.0,Middle East,14
2009.0,All other countries,77
2009.0,Middle East,10
2010.0,All other countries,42
2010.0,Middle East,11
2011.0,All other countries,42
2011.0,Middle East,15
2012.0,All other countries,39
2012.0,Middle East,45
2013.0,All other countries,33
2013.0,Middle East,55
2014.0,All other countries,53
2014.0,Middle East,43
2015.0,All other countries,46
2015.0,Middle East,36
2016.0,All other countries,25
2016.0,Middle East,38
2017.0,All other countries,54
2017.0,Middle East,28
2018.0,All other countries,85
2018.0,Middle East,31
2019.0,All other countries,51
2019.0,Middle East,16
2020.0,All other countries,64
2020.0,Middle East,18
2021.0,All other countries,107
2021.0,Middle East,11
2022.0,All other countries,116
2022.0,Middle East,87
2023.0,All other countries,18
2023.0,Middle East,46
