name,gender,organization,date,location,type_of_death,attack,role,region,year
Alaa Taher Al-Hassanat,Female,AlMajedat Media Network,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Alexandra Tuttle,Female,The Wall Street Journal,"September 22, 1993",Georgia,Crossfire,Killed,Journalist,,1993
Alison Parker,Female,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,,2015
Amparo Leonor Jiménez Pallares,Female,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Murder,Killed,Journalist,,1998
Anastasiya Baburova,Female,Novaya Gazeta,"January 19, 2009",Russia,Murder,Killed,Journalist,,2009
Anja Niedringhaus,Female,The Associated Press,"April 4, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,,2014
Anna Politkovskaya,Female,Novaya Gazeta,"October 7, 2006",Russia,Murder,Killed,Journalist,,2006
Asiya Jeelani,Female,Freelancer,"April 20, 2004",India,Dangerous Assignment,Killed,Journalist,,2004
Atwar Bahjat,Female,Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,,2006
Audrey Gaid Estrada,Female,101.3 Grace Covenant FM,"March 17, 2022",Philippines,Murder,Killed,Journalist,,2022
Ayat Khadoura,Female,Unknown,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Ayelet Arnin,Female,Kan,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Aysel Malkac,Female,Ozgur Gundem,"August 7, 1993",Turkey,Murder,Killed,Journalist,,1993
Batoul Mokhles al-Warrar,Female,Noor al-Sham; Radio Damascus,"November 3, 2015",Syria,Crossfire,Killed,Journalist,,2015
Camille Lepage,Female,Freelancer,May 2014,Central African Republic,Dangerous Assignment,Killed,Journalist,,
Cynthia Elbaum,Female,Freelancer,"December 22, 1994",Russia,Crossfire,Killed,Journalist,,1994
Dalia Marko,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,,2015
Daphne Caruana Galizia,Female,Running Commentary,"October 16, 2017",Malta,Murder,Killed,Journalist,,2017
Dilshan Ibash,Female,Hawar News Agency (ANHA),"October 12, 2017",Syria,Crossfire,Killed,Journalist,,2017
Dolores Guadalupe García Escamilla,Female,Stereo 91,"April 16, 2005",Mexico,Murder,Killed,Journalist,,2005
Duniya Muhyadin Nur,Female,Capital Voice,"June 5, 2005",Somalia,Dangerous Assignment,Killed,Journalist,,2005
Elsa Cayat,Female,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,,2015
Farah Omar,Female,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,,2023
Flor Alba Núñez Vargas,Female,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,Murder,Killed,Journalist,,2015
Francisca Sandoval,Female,Canal Señal 3 La Victoria,"May 12, 2022",Chile,Dangerous Assignment,Killed,Journalist,,2022
Gabrielle Marian Hulsen,Female,Freelancer,"August 18, 1992",Lebanon,Murder,Killed,Journalist,,1992
Gauri Lankesh,Female,Gauri Lankesh Patrike,"September 5, 2017",India,Murder,Killed,Journalist,,2017
Ghislaine Dupont,Female,Radio France Internationale,"November 2, 2013",Mali,Murder,Killed,Journalist,,2013
Gina Dela Cruz,Female,Saksi News,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Habiba Ahmed Abd Elaziz,Female,Al-Jazeera,"August 14, 2013",Egypt,Crossfire,Killed,Journalist,,2013
Halima Idris Salim,Female,Sudan Bukra,"October 10, 2023",Sudan,Dangerous Assignment,Killed,Journalist,,2023
Halla Barakat,Female,Orient Net,"Body found on September 21, 2017",Turkey,Motive Unconfirmed,Killed,Journalist,,2017
Hind Ismail,Female,As-Saffir,"September 17, 2005",Iraq,Murder,Killed,Journalist,,2005
Hindia Haji Mohamed,Female,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,Murder,Killed,Journalist,,2015
Ilaria Alpi,Female,RAI-3 Television,"March 20, 1994",Somalia,Murder,Killed,Journalist,,1994
Isaivizhi Chempiyan,Female,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire,Killed,Journalist,,2007
Jhannah Villegas,Female,"Sagad and Bugso,Radyo Ukay,Energy FM 106.7","April 15, 2022",Philippines,Murder,Killed,Journalist,,2022
Johanne Sutton,Female,Radio France Internationale,"November 11, 2001",Afghanistan,Crossfire,Killed,Journalist,,2001
Karen Fischer,Female,Freelancer,"October 7, 2006",Afghanistan,Murder,Killed,Journalist,,2006
Karmela Sojanovic,Female,Oslobodjenje,"January 10, 1993",Bosnia,Murder,Killed,Journalist,,1993
Kate Peyton,Female,BBC,"February 9, 2005",Somalia,Murder,Killed,Journalist,,2005
Khadija Dahmani,Female,Echourouk al-Arabi,"December 5, 1995",Algeria,Murder,Killed,Journalist,,1995
Khamail Khalaf,Female,Radio Free Iraq,"April 5, 2007",Iraq,Murder,Killed,Journalist,,2007
Kim Wall,Female,Freelancer,"August 10, 2017",Denmark,Dangerous Assignment,Killed,Journalist,,2017
Larisa Yudina,Female,Sovietskaya Kalmykia Segodnya,"June 8, 1998",Russia,Murder,Killed,Journalist,,1998
Layal Najib,Female,Freelancer,"July 23, 2006",Lebanon,Crossfire,Killed,Journalist,,2006
Lea Dalmacio,Female,Socsargen News,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Leslie Ann Pamela Montenegro del Real,Female,El Sillón,"February 5, 2018",Mexico,Murder,Killed,Journalist,,2018
Leyla Yildizhan (Deniz Firat),Female,Firat News Agency,"August 8, 2014",Iraq,Crossfire,Killed,Journalist,,2014
Lissy Schmidt,Female,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel","April 3, 1994",Iraq,Murder,Killed,Journalist,,1994
Luma al-Karkhi,Female,Al-Dustour,"November 15, 2006",Iraq,Murder,Killed,Journalist,,2006
Lyra McKee,Female,Freelancer,"April 18, 2019",UK,Dangerous Assignment,Killed,Journalist,,2019
Maha Ibrahim,Female,Baghdad TV,"June 25, 2005",Iraq,Crossfire,Killed,Journalist,,2005
Maharram Durrani,Female,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,,2018
Malalai Maiwand,Female,Enikass Radio and TV,"December 10, 2020",Afghanistan,Murder,Killed,Journalist,,2020
Malika Sabour,Female,Echourouk al-Arabi,"May 21, 1995",Algeria,Murder,Killed,Journalist,,1995
María Carlin Fernández,Female,Peruvian Radio and Television Network,"December 10, 1993",Peru,Murder,Killed,Journalist,,1993
María Efigenia Vásquez Astudillo,Female,Renacer Kokonuko,"October 8, 2017",Colombia,Dangerous Assignment,Killed,Journalist,,2017
Maria Elena Ferral Hernández,Female,"El Diario de Xalapa,El Quinto Poder","March 30, 2020",Mexico,Murder,Killed,Journalist,,2020
Maria Elizabeth Macías Castro,Female,Freelancer,"September 24, 2011",Mexico,Murder,Killed,Journalist,,2011
Maria Grazia Cutuli,Female,Corriere della Serra,"November 19, 2001",Afghanistan,Murder,Killed,Journalist,,2001
Maria Guadalupe Lourdes Maldonado López,Female,Freelancer,"January 23, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,,2022
María José Bravo,Female,La Prensa,"November 9, 2004",Nicaragua,Murder,Killed,Journalist,,2004
María Veronica Tessari,Female,Colombian Media,"January 15, 1993",Venezuela,Dangerous Assignment,Killed,Journalist,,1993
Maricel Vigo,Female,DXND,"June 19, 2006",Philippines,Murder,Killed,Journalist,,2006
Marie Colvin,Female,The Sunday Times,"February 22, 2012",Syria,Murder,Killed,Journalist,,2012
Marife “Neneng” Montaño,Female,Saksi News and DXCI,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Marites Cablitas,Female,News Focus and DXDX,"November 23, 2009",Philippines,Murder,Killed,Journalist,,2009
Marlene Garcia-Esperat,Female,Midland News and DXKR,"March 24, 2005",Philippines,Murder,Killed,Journalist,,2005
Mayada Ashraf,Female,Al-Dustour,"March 28, 2014",Egypt,Crossfire,Killed,Journalist,,2014
Michelle Lang,Female,Calgary Herald and Canwest News Service,"December 30, 2009",Afghanistan,Crossfire,Killed,Journalist,,2009
Mika Yamamoto,Female,Japan Press,"August 20, 2012",Syria,Crossfire,Killed,Journalist,,2012
Mina Khairi,Female,Ariana News TV,"June 3, 2021",Afghanistan,Murder,Killed,Journalist,,2021
Miroslava Breach Velducea,Female,La Jornada,"March 23, 2017",Mexico,Murder,Killed,Journalist,,2017
Mona al-Bakkour,Female,Al-Thawra and Syria al-Qalaa,"October 3, 2012",Syria,Dangerous Assignment,Killed,Journalist,,2012
Nadezhda Chaikova,Female,Obshchaya Gazeta,"March 30, 1996",Russia,Murder,Killed,Journalist,,1996
Nadia Nasrat,Female,Iraq Media Network/Diyala TV,"March 18, 2004",Iraq,Murder,Killed,Journalist,,2004
Naïma Hammouda,Female,Révolution Africaine,"August 2, 1995",Algeria,Murder,Killed,Journalist,,1995
Naqshin Hamma Rashid,Female,Atyaf,"October 29, 2006",Iraq,Murder,Killed,Journalist,,2006
Natalya Alyakina,Female,Focus and RUFA,"June 17, 1995",Russia,Crossfire,Killed,Journalist,,1995
Natalya Estemirova,Female,"Novaya Gazeta, Kavkazsky Uzel","July 15, 2009",Russia,Murder,Killed,Journalist,,2009
Natalya Skryl,Female,Nashe Vremya,"March 9, 2002",Russia,Murder,Killed,Journalist,,2002
Nawras al-Nuaimi,Female,Al-Mosuliya TV,"December 15, 2013",Iraq,Murder,Killed,Journalist,,2013
Nina Yefimova,Female,Vozrozhdeniye,"May 9, 1996",Russia,Murder,Killed,Journalist,,1996
Norma Sarabia Garduza,Female,"Tabasco Hoy,Diario Presente","June 11, 2019",Mexico,Murder,Killed,Journalist,,2019
Ogulsapar Muradova,Female,Radio Free Europe/Radio Liberty,September 2006,Turkmenistan,Murder,Killed,Journalist,,
Oksana Baulina,Female,The Insider,"March 23, 2022",Ukraine,Crossfire,Killed,Journalist,,2022
Oksana Haidar,Female,Unknown,"March 11-April 7, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,,2022
Oleksandra Kuvshynova,Female,Fox News,"March 14, 2022",Ukraine,Crossfire,Killed,Journalist,,2022
Oralgaisha Omarshanova (Zhabagtaikyzy),Female,Zakon i Pravosudiye,"On or after March 30, 2007",Kazakhstan,Motive Unconfirmed,Killed,Journalist,,2007
Rachida Hammadi,Female,Algerian State Television,"March 31, 1995",Algeria,Murder,Killed,Journalist,,1995
Radoslava Dada Vujasinovic,Female,Duga,"April 8, 1994",Serbia,Motive Unconfirmed,Killed,Journalist,,1994
Raeda Wazzan,Female,Al-Iraqiya,"February 25, 2005",Iraq,Murder,Killed,Journalist,,2005
Randa George,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,,2015
Rasha Abdullah al-Harazi,Female,"Al-Ain,Bloomberg Asharq","November 9, 2021",Yemen,Motive Unconfirmed,Killed,Journalist,,2021
