name,gender,organization,date,location
Angelina Roshchupko,Female,Freelancer,"May 8, 2022",Russia
Atikem Rozi,Female,Uighurbiz,"January or February, 2014",China
Berivan Altan,Female,Mezopotamya News Agency,"October 25, 2022",Turkey
Ceylan Şahinli,Female,Mezopotamya News Agency,"October 25, 2022",Turkey
Chan Pui-man,Female,Apple Daily,"July 21, 2021",China
Cheng Lei,Female,China Global Television Network,"August 14, 2020",China
Diren Yurtsever,Female,Mezopotamya News Agency,"October 25, 2022",Turkey
Elahe Mohammadi,Female,Hammihan Newspaper,"September 22, 2022",Iran
Elif Üngür,Female,PİYA Production Company,"June 8, 2022",Turkey
Elmira Bahmani,Female,Freelancer,"September 26, 2022",Iran
Fahimeh Nazari,Female,Freelancer,"November 16, 2022",Iran
Farkhondeh Ashori,Female,Freelancer,"October 17, 2022",Iran
Farzaneh Yahya-Abadi,Female,Freelancer,"October 19, 2022",Iran
Florianne Irangabiye,Female,Radio Igicaniro,"August 30, 2022",Burundi
Frenchie Mae Cumpio,Female,"Eastern Vista, Aksyon Radyo Tacloban DYVL 819","February 7, 2020",Philippines
Gulmire Imin,Female,Freelancer,"July 14, 2009",China
Hatice Duman,Female,Atılım,"April 9, 2003",Turkey
Hmu Yadanar Khet Moh Moh Tun,Female,Myanmar Pressphoto Agency,"December 5, 2021",Myanmar
Htet Htet Khine,Female,Freelancer,"August 15, 2021",Myanmar
Huynh Thuc Vy,Female,Freelancer,"August 9, 2018",Vietnam
Iryna Danylovych,Female,Freelancer,"In occupied Crimea on April 29, 2022",Russia
Iryna Leushyna,Female,BelaPAN,"August 18, 2021",Belarus
Iryna Slaunikava,Female,Belsat TV,"October 30, 2021",Belarus
Katsiaryna Andreyeva,Female,Belsat TV,"November 15, 2020",Belarus
Ksenia Lutskina,Female,Freelancer,"December 22, 2020",Belarus
Lway M Phoung,Female,Shwe Phee Myay News Agency,"September 26, 2021",Myanmar
Ma Htet Htet,Female,Thingangyun Post,"September 11, 2021",Myanmar
Ma Thuzar,Female,Myanmar Pressphoto Agency,"September 1, 2021",Myanmar
Malihe Darki,Female,Freelancer,"October 28, 2022",Iran
Mandana Sadeghi,Female,Freelancer,"October 18, 2022",Iran
Maria Ponomarenko,Female,RusNews,"April 23, 2022",Russia
Maryam Vahidian,Female,Freelancer,"November 28, 2022",Iran
Maryna Zolatava,Female,Tut.by,"May 18, 2021",Belarus
Marzieh Amiri,Female,Way2Pay,"October 31, 2022",Iran
Marzieh Talaee,Female,Mukrian News Agency,"September 22, 2022",Iran
Mehrnoosh Tafian,Female,Freelancer,"September 25, 2022",Iran
Nasrin Hassani,Female,Etefaghyeh,"September 30, 2022",Iran
Nastaran Farokheh,Female,Shargh Daily,"November 28, 2022",Iran
Nazila Maroofian,Female,Rouydad24,"November 3, 2022",Iran
Neşe Toprak,Female,PEL Production Company,"June 8, 2022",Turkey
Niloofar Hamedi,Female,Shargh Daily,"September 22, 2022",Iran
Nooshin Jafari,Female,Freelancer,"February 16, 2021",Iran
Nying Nying Aye (Mabel),Female,Mizzima,"January 15, 2022",Myanmar
Öznur Değer,Female,Freelancer,"October 25, 2022",Turkey
Pham Doan Trang,Female,"Luat Khoa, The Vietnamese","October 6, 2020",Vietnam
Rahil Mousavi,Female,Freelancer,"November 9, 2021",Iran
Saba Abdollahi,Female,Bidad Students Journal,"November 15, 2022",Iran
Saba Sherdoust,Female,Freelancer,"October 10, 2022",Iran
Saeede Fathi,Female,Freelancer,"October 16, 2022",Iran
Safiye Alagaş,Female,JINNEWS,"June 8, 2022",Turkey
Sarvenaz Ahmadi,Female,Freelancer,"November 6, 2022",Iran
Snezhana Inanets,Female,Onliner,"October 6, 2022",Belarus
Sophia Huang Xueqin,Female,Freelancer,"September 19, 2021",China
Tal al-Mallohi,Female,Freelancer,"December 27, 2009",Syria
Than Lwin Thu (Ma New),Female,First Weekly News Journal,"December 21, 2021",Myanmar
Tran Thi Tuyet Dieu,Female,Freelancer,"August 21, 2020",Vietnam
Ulfatkhonim Mamadshoeva,Female,Freelancer,"May 18, 2022",Tajikistan
Ümmü Habibe Eren,Female,JINNEWS,"October 25, 2022",Turkey
Valeryia Kastsiuhova,Female,Nashe Mneniye,"June 30, 2021",Belarus
Vida Rabbani,Female,Freelancer,"September 24, 2022",Iran
