name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Alaa Taher Al-Hassanat,Female,AlMajedat Media Network,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Alexandra Tuttle,Female,The Wall Street Journal,"September 22, 1993",Georgia,Crossfire,Killed,Journalist,All other countries,1993,Staff
Alison Parker,Female,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,All other countries,2015,Staff
Amparo Leonor Jiménez Pallares,Female,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Murder,Killed,Journalist,All other countries,1998,Staff
Anastasiya Baburova,Female,Novaya Gazeta,"January 19, 2009",Russia,Murder,Killed,Journalist,All other countries,2009,Staff
Anja Niedringhaus,Female,The Associated Press,"April 4, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2014,Staff
Anna Politkovskaya,Female,Novaya Gazeta,"October 7, 2006",Russia,Murder,Killed,Journalist,All other countries,2006,Staff
Asiya Jeelani,Female,Freelancer,"April 20, 2004",India,Dangerous Assignment,Killed,Journalist,All other countries,2004,Freelancer
Atwar Bahjat,Female,Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Audrey Gaid Estrada,Female,101.3 Grace Covenant FM,"March 17, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Ayat Khadoura,Female,Unknown,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Ayelet Arnin,Female,Kan,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Aysel Malkac,Female,Ozgur Gundem,"August 7, 1993",Turkey,Murder,Killed,Journalist,Middle East,1993,Staff
Batoul Mokhles al-Warrar,Female,Noor al-Sham; Radio Damascus,"November 3, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Camille Lepage,Female,Freelancer,May 2014,Central African Republic,Dangerous Assignment,Killed,Journalist,All other countries,2014,Freelancer
Cynthia Elbaum,Female,Freelancer,"December 22, 1994",Russia,Crossfire,Killed,Journalist,All other countries,1994,Freelancer
Dalia Marko,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015,Staff
Daphne Caruana Galizia,Female,Running Commentary,"October 16, 2017",Malta,Murder,Killed,Journalist,All other countries,2017,Staff
Dilshan Ibash,Female,Hawar News Agency (ANHA),"October 12, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Dolores Guadalupe García Escamilla,Female,Stereo 91,"April 16, 2005",Mexico,Murder,Killed,Journalist,All other countries,2005,Staff
Duniya Muhyadin Nur,Female,Capital Voice,"June 5, 2005",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2005,Staff
Elsa Cayat,Female,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Freelancer
Farah Omar,Female,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Flor Alba Núñez Vargas,Female,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,Murder,Killed,Journalist,All other countries,2015,Staff
Francisca Sandoval,Female,Canal Señal 3 La Victoria,"May 12, 2022",Chile,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Gabrielle Marian Hulsen,Female,Freelancer,"August 18, 1992",Lebanon,Murder,Killed,Journalist,Middle East,1992,Freelancer
Gauri Lankesh,Female,Gauri Lankesh Patrike,"September 5, 2017",India,Murder,Killed,Journalist,All other countries,2017,Staff
Ghislaine Dupont,Female,Radio France Internationale,"November 2, 2013",Mali,Murder,Killed,Journalist,All other countries,2013,Staff
Gina Dela Cruz,Female,Saksi News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Habiba Ahmed Abd Elaziz,Female,Al-Jazeera,"August 14, 2013",Egypt,Crossfire,Killed,Journalist,Middle East,2013,Staff
Halima Idris Salim,Female,Sudan Bukra,"October 10, 2023",Sudan,Dangerous Assignment,Killed,Journalist,All other countries,2023,Staff
Halla Barakat,Female,Orient Net,"Body found on September 21, 2017",Turkey,Motive Unconfirmed,Killed,Journalist,Middle East,2017,Staff
Hind Ismail,Female,As-Saffir,"September 17, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Hindia Haji Mohamed,Female,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,Murder,Killed,Journalist,All other countries,2015,Staff
