name,organization,date,location,type_of_death
Ahmad [full name unavailable],Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Khaled Mohammad Nofan,Al-Watan,"October 14, 2007",Iraq,Motive Unconfirmed
Sabah Salman,Iraq Media Network,"February 7, 2007",Iraq,Motive Unconfirmed
Unidentified,Al-Hurra,"February 25, 2005",Iraq,Motive Unconfirmed
Abdelhalim Awad,Al-Aqsa TV,"November 18, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Abdiqadir Hassan Yusuf,Universal TV,"December 22, 2018",Somalia,Motive Unconfirmed
Abdul Latif Amiri,Radio Television Afghanistan,"May 17, 2017",Afghanistan,Motive Unconfirmed
Abdullah [full name unavailable],Freelancer,"October 22, 2007",Iraq,Motive Unconfirmed
Abu Yezen al-Hamoui,Freelancer,"December 26, 2012",Syria,Motive Unconfirmed
Adel al-Badri,Radio Dijla,"May 3, 2007",Iraq,Motive Unconfirmed
Agustín López Nolasco,El Imparcial del Istmo,"October 8, 2007",Mexico,Motive Unconfirmed
Ahlam Youssef,Al-Iraqiya,"September 21, 2005",Iraq,Motive Unconfirmed
Ahmed Jassem,Nineveh Television,"October 7, 2004",Iraq,Motive Unconfirmed
Ahmed Khattab Omar,Salaheddin TV,"December 23, 2013",Iraq,Motive Unconfirmed
Ahmed Sharif Hussein,Radio Mogadishu,"August 20, 2013",Somalia,Motive Unconfirmed
Alaa Aasi,Al-Forat,"January 29, 2008",Iraq,Motive Unconfirmed
Alahin Hussein,Al-Arabiya,"October 30, 2003",Iraq,Motive Unconfirmed
Ali Abu Afash,Freelancer,"August 13, 2014",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Ali Adnan,Al-Arabiya,"October 30, 2003",Iraq,Motive Unconfirmed
Ali Aish Mohammad Youssef,Al-Maraweah Radio Broadcasting Center,"September 16, 2018",Yemen,Motive Unconfirmed
Ali Ghani,Al-Ahad TV,"August 20, 2016",Iraq,Motive Unconfirmed
Ali Hlayel,Atyaf (Iraqi Media Network),"October 13, 2006",Iraq,Motive Unconfirmed
Ali Jabber,Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Ali Watan Rozouk al-Hassani,Al-Samawah,"July 6, 2007",Iraq,Motive Unconfirmed
Allan Enwiyah,Freelancer,"January 7, 2006",Iraq,Motive Unconfirmed
Amira Hatem,Al-Arabiya,"July 26, 2010",Iraq,Motive Unconfirmed
Amro Salah Abu Hayah,Al Aqsa TV,"November 18, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Andrei Mironov,Memorial,"May 24, 2014",Ukraine,Motive Unconfirmed
