name,gender,organization,date,location,type_of_death,attack,role,region,year
Alaa Taher Al-Hassanat,Female,AlMajedat Media Network,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Alexandra Tuttle,Female,The Wall Street Journal,"September 22, 1993",Georgia,Crossfire,Killed,Journalist,All other countries,1993.0
Alison Parker,Female,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,All other countries,2015.0
Amparo Leonor Jiménez Pallares,Female,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Murder,Killed,Journalist,All other countries,1998.0
Anastasiya Baburova,Female,Novaya Gazeta,"January 19, 2009",Russia,Murder,Killed,Journalist,All other countries,2009.0
Anja Niedringhaus,Female,The Associated Press,"April 4, 2014",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2014.0
Anna Politkovskaya,Female,Novaya Gazeta,"October 7, 2006",Russia,Murder,Killed,Journalist,All other countries,2006.0
Asiya Jeelani,Female,Freelancer,"April 20, 2004",India,Dangerous Assignment,Killed,Journalist,All other countries,2004.0
Atwar Bahjat,Female,Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Audrey Gaid Estrada,Female,101.3 Grace Covenant FM,"March 17, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022.0
Ayat Khadoura,Female,Unknown,"November 20, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Ayelet Arnin,Female,Kan,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Aysel Malkac,Female,Ozgur Gundem,"August 7, 1993",Turkey,Murder,Killed,Journalist,Middle East,1993.0
Batoul Mokhles al-Warrar,Female,Noor al-Sham; Radio Damascus,"November 3, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015.0
Camille Lepage,Female,Freelancer,May 2014,Central African Republic,Dangerous Assignment,Killed,Journalist,All other countries,
Cynthia Elbaum,Female,Freelancer,"December 22, 1994",Russia,Crossfire,Killed,Journalist,All other countries,1994.0
Dalia Marko,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015.0
Daphne Caruana Galizia,Female,Running Commentary,"October 16, 2017",Malta,Murder,Killed,Journalist,All other countries,2017.0
Dilshan Ibash,Female,Hawar News Agency (ANHA),"October 12, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017.0
Dolores Guadalupe García Escamilla,Female,Stereo 91,"April 16, 2005",Mexico,Murder,Killed,Journalist,All other countries,2005.0
Duniya Muhyadin Nur,Female,Capital Voice,"June 5, 2005",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2005.0
Elsa Cayat,Female,Freelancer,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015.0
Farah Omar,Female,Al-Mayadeen TV,"November 21, 2023",Lebanon,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Flor Alba Núñez Vargas,Female,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,Murder,Killed,Journalist,All other countries,2015.0
Francisca Sandoval,Female,Canal Señal 3 La Victoria,"May 12, 2022",Chile,Dangerous Assignment,Killed,Journalist,All other countries,2022.0
Gabrielle Marian Hulsen,Female,Freelancer,"August 18, 1992",Lebanon,Murder,Killed,Journalist,Middle East,1992.0
Gauri Lankesh,Female,Gauri Lankesh Patrike,"September 5, 2017",India,Murder,Killed,Journalist,All other countries,2017.0
Ghislaine Dupont,Female,Radio France Internationale,"November 2, 2013",Mali,Murder,Killed,Journalist,All other countries,2013.0
Gina Dela Cruz,Female,Saksi News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Habiba Ahmed Abd Elaziz,Female,Al-Jazeera,"August 14, 2013",Egypt,Crossfire,Killed,Journalist,Middle East,2013.0
Halima Idris Salim,Female,Sudan Bukra,"October 10, 2023",Sudan,Dangerous Assignment,Killed,Journalist,All other countries,2023.0
Halla Barakat,Female,Orient Net,"Body found on September 21, 2017",Turkey,Motive Unconfirmed,Killed,Journalist,Middle East,2017.0
Hind Ismail,Female,As-Saffir,"September 17, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Hindia Haji Mohamed,Female,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,Murder,Killed,Journalist,All other countries,2015.0
Ilaria Alpi,Female,RAI-3 Television,"March 20, 1994",Somalia,Murder,Killed,Journalist,All other countries,1994.0
Isaivizhi Chempiyan,Female,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire,Killed,Journalist,All other countries,2007.0
Jhannah Villegas,Female,"Sagad and Bugso,Radyo Ukay,Energy FM 106.7","April 15, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022.0
Johanne Sutton,Female,Radio France Internationale,"November 11, 2001",Afghanistan,Crossfire,Killed,Journalist,All other countries,2001.0
Karen Fischer,Female,Freelancer,"October 7, 2006",Afghanistan,Murder,Killed,Journalist,All other countries,2006.0
Karmela Sojanovic,Female,Oslobodjenje,"January 10, 1993",Bosnia,Murder,Killed,Journalist,All other countries,1993.0
Kate Peyton,Female,BBC,"February 9, 2005",Somalia,Murder,Killed,Journalist,All other countries,2005.0
Khadija Dahmani,Female,Echourouk al-Arabi,"December 5, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Khamail Khalaf,Female,Radio Free Iraq,"April 5, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Kim Wall,Female,Freelancer,"August 10, 2017",Denmark,Dangerous Assignment,Killed,Journalist,All other countries,2017.0
Larisa Yudina,Female,Sovietskaya Kalmykia Segodnya,"June 8, 1998",Russia,Murder,Killed,Journalist,All other countries,1998.0
Layal Najib,Female,Freelancer,"July 23, 2006",Lebanon,Crossfire,Killed,Journalist,Middle East,2006.0
Lea Dalmacio,Female,Socsargen News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Leslie Ann Pamela Montenegro del Real,Female,El Sillón,"February 5, 2018",Mexico,Murder,Killed,Journalist,All other countries,2018.0
Leyla Yildizhan (Deniz Firat),Female,Firat News Agency,"August 8, 2014",Iraq,Crossfire,Killed,Journalist,Middle East,2014.0
Lissy Schmidt,Female,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel","April 3, 1994",Iraq,Murder,Killed,Journalist,Middle East,1994.0
Luma al-Karkhi,Female,Al-Dustour,"November 15, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Lyra McKee,Female,Freelancer,"April 18, 2019",UK,Dangerous Assignment,Killed,Journalist,All other countries,2019.0
Maha Ibrahim,Female,Baghdad TV,"June 25, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005.0
Maharram Durrani,Female,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018.0
Malalai Maiwand,Female,Enikass Radio and TV,"December 10, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020.0
Malika Sabour,Female,Echourouk al-Arabi,"May 21, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
María Carlin Fernández,Female,Peruvian Radio and Television Network,"December 10, 1993",Peru,Murder,Killed,Journalist,All other countries,1993.0
María Efigenia Vásquez Astudillo,Female,Renacer Kokonuko,"October 8, 2017",Colombia,Dangerous Assignment,Killed,Journalist,All other countries,2017.0
Maria Elena Ferral Hernández,Female,"El Diario de Xalapa,El Quinto Poder","March 30, 2020",Mexico,Murder,Killed,Journalist,All other countries,2020.0
Maria Elizabeth Macías Castro,Female,Freelancer,"September 24, 2011",Mexico,Murder,Killed,Journalist,All other countries,2011.0
Maria Grazia Cutuli,Female,Corriere della Serra,"November 19, 2001",Afghanistan,Murder,Killed,Journalist,All other countries,2001.0
Maria Guadalupe Lourdes Maldonado López,Female,Freelancer,"January 23, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022.0
María José Bravo,Female,La Prensa,"November 9, 2004",Nicaragua,Murder,Killed,Journalist,All other countries,2004.0
María Veronica Tessari,Female,Colombian Media,"January 15, 1993",Venezuela,Dangerous Assignment,Killed,Journalist,All other countries,1993.0
Maricel Vigo,Female,DXND,"June 19, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006.0
Marie Colvin,Female,The Sunday Times,"February 22, 2012",Syria,Murder,Killed,Journalist,Middle East,2012.0
Marife “Neneng” Montaño,Female,Saksi News and DXCI,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Marites Cablitas,Female,News Focus and DXDX,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009.0
Marlene Garcia-Esperat,Female,Midland News and DXKR,"March 24, 2005",Philippines,Murder,Killed,Journalist,All other countries,2005.0
Mayada Ashraf,Female,Al-Dustour,"March 28, 2014",Egypt,Crossfire,Killed,Journalist,Middle East,2014.0
Michelle Lang,Female,Calgary Herald and Canwest News Service,"December 30, 2009",Afghanistan,Crossfire,Killed,Journalist,All other countries,2009.0
Mika Yamamoto,Female,Japan Press,"August 20, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012.0
Mina Khairi,Female,Ariana News TV,"June 3, 2021",Afghanistan,Murder,Killed,Journalist,All other countries,2021.0
Miroslava Breach Velducea,Female,La Jornada,"March 23, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017.0
Mona al-Bakkour,Female,Al-Thawra and Syria al-Qalaa,"October 3, 2012",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2012.0
Nadezhda Chaikova,Female,Obshchaya Gazeta,"March 30, 1996",Russia,Murder,Killed,Journalist,All other countries,1996.0
Nadia Nasrat,Female,Iraq Media Network/Diyala TV,"March 18, 2004",Iraq,Murder,Killed,Journalist,Middle East,2004.0
Naïma Hammouda,Female,Révolution Africaine,"August 2, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
